Token	True Label	Predicted Label
I	c	i
have	c	c
received	c	c
your	c	i
letter	c	c
,	c	c
which	c	c
was	c	c
about	c	i
that	i	c
you	i	i
would	i	c
like	i	c
me	i	i
to	i	c
inform	i	c
you	i	i
.	c	c

As	c	i
you	c	i
know	c	i
,	c	c
a	c	c
hotel	c	i
whose	i	c
name	i	c
is	i	c
Palace	i	i
Hotel	c	i
has	c	c
been	c	c
booked	c	c
for	c	i
your	c	c
group	c	c
.	c	c

The	c	i
best	c	i
way	c	i
to	c	i
get	c	i
from	c	i
there	c	i
to	c	c
the	c	c
conference	c	c
is	c	i
to	c	i
take	c	c
a	c	c
taxi	c	c
.	c	c

I	c	c
am	c	c
afraid	c	c
there	c	c
are	c	c
no	c	i
buses	c	i
to	c	i
get	c	i
there	c	i
.	c	c

We	c	i
will	c	c
have	c	c
a	c	c
great	c	c
party	c	c
at	c	c
the	c	c
end	c	c
of	c	c
the	c	c
conference	c	c
.	c	c

The	c	c
party	c	c
will	c	c
be	c	c
formal	c	i
,	c	c
therefore	c	c
you	c	i
have	i	i
to	c	i
wear	c	c
formal	c	c
clothes	c	c
like	c	c
a	c	c
suit	c	c
or	c	c
a	c	c
dress	c	c
.	c	c

As	c	i
you	c	i
know	c	i
,	c	c
it	c	c
is	c	c
not	c	c
suitable	c	c
to	c	i
wear	c	c
a	i	c
jean	i	c
or	c	c
something	c	c
.	i	c

On	c	c
your	c	c
last	c	c
day	c	c
you	c	i
have	c	c
an	i	c
afternoon	c	c
free	c	c
.	c	c

In	c	c
my	c	i
area	c	c
there	c	c
is	c	c
a	c	c
fantastic	c	c
park	c	c
,	c	c
which	c	c
is	c	c
the	c	c
most	c	c
famous	c	c
park	c	c
in	c	c
the	c	c
country	c	c
.	c	c

You	c	i
can	c	c
find	c	i
a	c	c
lot	c	c
of	c	i
things	c	i
to	c	i
do	c	i
or	c	c
to	c	i
see	c	c
.	c	c

I	c	i
hope	c	c
you	c	i
will	c	c
find	c	c
all	c	c
the	c	c
details	c	c
,	i	c
which	c	c
